player_id,name,best_rank,country_id
1,Novak Djokovic,1,1
2,Carlos Alcaraz Garfia,1,2
3,Daniil Medvedev,1,3
4,Jannik Sinner,4,4
5,Andrey Rublev,5,3
6,Stefanos Tsitsipas,3,5
7,Alexander Zverev,2,6
8,Holger Vitus Nodskov Rune,4,7
9,Hubert Hurkacz,9,8
10,Taylor Harry Fritz,5,9
11,Casper Ruud,2,10
12,Alex De Minaur,11,11
13,Tommy Paul,12,9
14,Grigor Dimitrov,3,12
15,Karen Khachanov,8,3
16,Frances Tiafoe,10,9
17,Ben Shelton,15,9
18,Cameron Norrie,8,13
19,Nicolas Jarry,19,14
20,Ugo Humbert,20,15
21,Francisco Cerundolo,19,16
22,Adrian Mannarino,22,15
23,Tallon Griekspoor,21,17
24,Sebastian Korda,23,9
25,Jan Lennard Struff,21,6
26,Alejandro Davidovich Fokina,21,2
27,Lorenzo Musetti,15,4
28,Sebastian Baez,27,16
29,Felix Auger Aliassime,6,18
30,Tomas Martin Etcheverry,30,16
31,Jiri Lehecka,29,19
32,Alexander Bublik,25,20
33,Laslo Djere,27,1
34,Christopher Eubanks,29,9
35,Aslan Karatsev,14,3
36,Arthur Fils,36,15
37,Borna Coric,12,21
38,Daniel Evans,21,13
39,Roman Safiullin,39,3
40,Alexei Popyrin,39,11
41,Mackenzie Mcdonald,37,9
42,Andy Murray,1,13
43,Sebastian Ofner,43,22
44,Matteo Arnaldi,41,4
45,Max Purcell,40,11
46,Lorenzo Sonego,21,4
47,Yoshihito Nishioka,24,23
48,Alexander Shevchenko,48,3
49,Stan Wawrinka,3,24
50,Botic Van De Zandschulp,22,17
51,Yannick Hanfmann,45,6
52,Dusan Lajovic,23,1
53,Jeffrey John Wolf,39,9
54,Miomir Kecmanovic,27,1
55,Jordan Thompson,43,11
56,Daniel Altmaier,47,6
57,Roberto Bautista Agut,9,2
58,Zhizhen Zhang,52,25
59,Marton Fucsovics,31,26
60,Marcos Giron,49,9
61,Jack Draper,38,13
62,Aleksandar Vukic,48,11
63,Roberto Carballes Baena,49,2
64,Fabian Marozsan,61,26
65,Thanasi Kokkinakis,65,11
66,Nuno Borges,63,27
67,Pavel Kotov,66,3
68,Christopher Oconnell,53,11
69,Emil Ruusuvuori,37,28
70,Pedro Cachin,48,16
71,Rinky Hijikata,70,11
72,Borna Gojo,72,21
73,Benjamin Bonzi,42,15
74,Gael Monfils,6,15
75,Taro Daniel,64,23
76,Richard Gasquet,7,15
77,Dominik Koepfer,50,6
78,Tomas Machac,64,19
79,Thiago Seyboth Wild,74,29
80,Bernabe Zapata Miralles,37,2
81,Alexandre Muller,76,15
82,Christian Garin,17,14
83,Juan Pablo Varillas Patino Samudio,60,30
84,Gregoire Barrere,49,15
85,Alejandro Tabilo,64,14
86,Jaume Munar,52,2
87,Constant Lestienne,48,15
88,Federico Coria,49,16
89,Albert Ramos,17,2
90,Luca Van Assche,63,15
91,Maximilian Marterer,45,6
