post_id,account_id,text,likes,comments,url
1,1,Bye Brisbane. Thanks,63400,528,https://www.instagram.com/p/C1wJrU0v-ut
2,1,Thank you Brisbane f,165312,2172,https://www.instagram.com/p/C1uUxjpPyhZ
3,1,Great to have you ba,86385,778,https://www.instagram.com/p/C1uOM_psRMk
4,1,Nadal se despide de ,85294,662,https://www.instagram.com/p/C1uLIBXCCmS
5,1,Great night in Brisb,341590,3639,https://www.instagram.com/p/C1rY1t5PkIS
6,1,Very emotional day f,621010,9854,https://www.instagram.com/p/C1mUF6Pvg_l
7,1,Rafa tras la victori,138654,1046,https://www.instagram.com/p/C1mKwNuixpx
8,1,Brisbane. @rafaelnad,175427,882,https://www.instagram.com/p/C1jSk8wLDUi
9,1,You name it 😊,239427,2051,https://www.instagram.com/p/C1hQVoTP1yN
10,1,Thanks @andymurray f,234583,864,https://www.instagram.com/p/C1eMUuSvFOM
11,2,"Today, we celebrate ",59667,620,https://www.instagram.com/p/C1OjFPyt-i3
12,2,Thank you Vancouver ,407971,1794,https://www.instagram.com/p/CxthbgGvFmT
13,2,Congrats Team World ,129145,468,https://www.instagram.com/p/CxrCJi2Pg3I
14,2,When the band is bac,191075,710,https://www.instagram.com/p/CxjWxOgP03M
15,2,🌎 At the UN General ,115674,479,https://www.instagram.com/p/CxWdolmv0xb
16,2,Forever grateful for,392833,1792,https://www.instagram.com/p/CxLfDK4gJSz
17,2,As Team Europe gets ,84829,311,https://www.instagram.com/p/CxLZe3ytx_o
18,2,Inspirational win @c,941815,3150,https://www.instagram.com/p/CxBDVT_gyKX
19,2,Incredible launch fo,87218,495,https://www.instagram.com/p/CwaBdUQAb_I
20,2,Excited for my fall ,120821,709,https://www.instagram.com/p/CwXm3cnAxwE
21,3,Novak Djokovic shock,817080,4548,https://www.instagram.com/p/C1mPDNRN7d2
22,3,Covering every inch ,30798,136,https://www.instagram.com/p/C1luO0RsNf5
23,3,"🇨🇿 1-1 🇷🇸 

@djokern",65048,183,https://www.instagram.com/p/C1ls-qrvpQH
24,3,D 🔥 J 🔥 O 🔥 K 🔥 O 🔥 ,42508,127,https://www.instagram.com/p/C1lpaNsBvnI
25,3,The wait is finally ,43910,324,https://www.instagram.com/p/C1kNZktI054
26,3,We cannot promise th,60056,361,https://www.instagram.com/p/C1jtZjHoGUo
27,3,Happy new year 2024 ,149460,711,https://www.instagram.com/p/C1jK3HHo0_I
28,3,HAPPY NEW YEAR from ,110366,759,https://www.instagram.com/p/C1hmNx4PsRe
29,3,The perfect way to s,142283,386,https://www.instagram.com/p/C1hj7kXP96V
30,3,Target practice @zhe,83416,217,https://www.instagram.com/p/C1hZ4udgn6Q
31,4,Qué lindo show es la,28717,202,https://www.instagram.com/p/CzR5o9LuoT5
32,4,"Buenos días, entrega",1785,62,https://www.instagram.com/p/Cxp9d5lA-74
33,4,Gracias a todos por ,117991,2235,https://www.instagram.com/p/Cxk8GBmLfsq
34,4,"Hace 14 años, Juan M",43067,736,https://www.instagram.com/p/CxL9zHWge9n
35,4,No hay nada como dev,1266,32,https://www.instagram.com/p/CwyIXZ5OW5l
36,4,Un grande entre gran,2598,90,https://www.instagram.com/p/CwgEDYJMg5j
37,4,Probando y disfrutan,25568,242,https://www.instagram.com/p/CvCjxd7uAy1
38,4,La mejor del mundo @,151634,2305,https://www.instagram.com/p/Cuc-ObhpHep
39,4,"Que lindo es Madrid,",32866,278,https://www.instagram.com/p/CuUKfgyOPnk
40,4,Increíble noche al l,53976,458,https://www.instagram.com/p/Ct1nHPkLHja
