tournament_id,year,name,level,surface,participation_perc,strength,avg_elo
1,2023,Australian Open,Grand Slam,Hard,88.5,2926,2050
2,2023,Roland Garros,Grand Slam,Clay,90.3,2857,2037
3,2023,US Open,Grand Slam,Hard,95.0,2883,2042
4,2023,Wimbledon,Grand Slam,Grass,92.5,2853,2036
5,2023,Tour Finals,Tour Finals,Hard,98.3,1069,2229
6,2023,Cincinnati Masters,Masters,Hard,88.7,2096,2069
7,2023,Indian Wells Masters,Masters,Hard,79.0,2184,2013
8,2023,Madrid Masters,Masters,Clay,80.5,2149,2026
9,2023,Miami Masters,Masters,Hard,83.0,2170,2031
10,2023,Monte-Carlo Masters,Masters,Clay,75.9,2035,2053
11,2023,Paris Masters,Masters,Hard,94.8,2109,2073
12,2023,Rome Masters,Masters,Clay,87.2,2231,2046
13,2023,Shanghai Masters,Masters,Hard,88.3,2140,2024
14,2023,Toronto Masters,Masters,Hard,81.0,2012,2046
15,2023,Acapulco,ATP 500,Hard,33.9,1326,1930
16,2023,Barcelona,ATP 500,Clay,49.1,1639,1961
17,2023,Basel,ATP 500,Hard,45.9,1402,1954
18,2023,Beijing,ATP 500,Hard,74.1,1701,2051
19,2023,Dubai,ATP 500,Hard,44.2,1529,1996
20,2023,Halle,ATP 500,Grass,43.3,1500,1986
21,2023,Hamburg,ATP 500,Clay,27.1,1284,1916
22,2023,London,ATP 500,Grass,50.7,1498,1986
23,2023,Rio de Janeiro,ATP 500,Clay,23.0,1149,1872
24,2023,Rotterdam,ATP 500,Hard,50.5,1597,2018
25,2023,Tokyo,ATP 500,Hard,46.7,1448,1970
26,2023,Vienna,ATP 500,Hard,56.6,1584,2013
27,2023,Washington,ATP 500,Hard,31.7,1493,1920
28,2023,'s-Hertogenbosch,ATP 250,Grass,26.9,1253,1931
29,2023,Adelaide,ATP 250,Hard,27.5,1257,1933
30,2023,Adelaide 1,ATP 250,Hard,42.8,1578,2011
31,2023,Antwerp,ATP 250,Hard,14.9,1017,1850
32,2023,Astana,ATP 250,Hard,18.8,1109,1882
33,2023,Atlanta,ATP 250,Hard,17.6,1088,1875
34,2023,Auckland,ATP 250,Hard,23.8,1150,1896
35,2023,Banja Luka,ATP 250,Clay,24.9,1231,1924
36,2023,Bastad,ATP 250,Clay,27.1,1174,1904
37,2023,Buenos Aires,ATP 250,Clay,24.8,1110,1882
38,2023,Chengdu,ATP 250,Hard,19.8,1046,1860
39,2023,Cordoba,ATP 250,Clay,9.4,890,1806
40,2023,Dallas,ATP 250,Hard,17.1,1064,1866
41,2023,Delray Beach,ATP 250,Hard,18.4,1106,1881
42,2023,Doha,ATP 250,Hard,28.9,1308,1950
43,2023,Eastbourne,ATP 250,Grass,23.0,1127,1888
44,2023,Estoril,ATP 250,Clay,22.3,1019,1851
45,2023,Geneva,ATP 250,Clay,23.6,1164,1901
46,2023,Gstaad,ATP 250,Clay,11.3,1006,1846
47,2023,Houston,ATP 250,Clay,11.6,1013,1849
48,2023,Kitzbuhel,ATP 250,Clay,10.4,981,1838
49,2023,Los Cabos,ATP 250,Hard,21.5,1020,1851
50,2023,Lyon,ATP 250,Clay,20.1,1154,1897
51,2023,Mallorca,ATP 250,Grass,15.8,1041,1858
52,2023,Marrakech,ATP 250,Clay,12.6,942,1824
53,2023,Marseille,ATP 250,Hard,19.7,1133,1890
54,2023,Metz,ATP 250,Hard,12.8,998,1843
55,2023,Montpellier,ATP 250,Hard,21.1,1168,1902
56,2023,Munich,ATP 250,Clay,21.2,1167,1902
57,2023,Newport,ATP 250,Grass,9.3,855,1794
58,2023,Pune,ATP 250,Hard,12.1,971,1834
59,2023,Santiago,ATP 250,Clay,13.3,982,1838
60,2023,Sofia,ATP 250,Hard,14.5,964,1832
61,2023,Stockholm,ATP 250,Hard,23.4,1168,1902
62,2023,Stuttgart,ATP 250,Grass,37.5,1358,1967
63,2023,Umag,ATP 250,Clay,8.5,995,1843
64,2023,Winston-Salem,ATP 250,Hard,19.1,1293,1864
65,2023,Zhuhai,ATP 250,Hard,16.2,1021,1852
66,2023,Jeddah,Others,Hard,5.9,352,1760
67,2022,Australian Open,Grand Slam,Hard,85.8,2831,2032
68,2022,Roland Garros,Grand Slam,Clay,91.5,2938,2052
69,2022,US Open,Grand Slam,Hard,87.6,2864,2038
70,2022,Wimbledon,Grand Slam,Grass,76.4,2804,2027
71,2022,Tour Finals,Tour Finals,Hard,89.9,973,2218
72,2022,Cincinnati Masters,Masters,Hard,84.9,2100,2070
73,2022,Indian Wells Masters,Masters,Hard,89.1,2263,2054
74,2022,Madrid Masters,Masters,Clay,85.9,2120,2076
75,2022,Miami Masters,Masters,Hard,82.3,2168,2030
76,2022,Monte-Carlo Masters,Masters,Clay,72.4,1978,2037
77,2022,Paris Masters,Masters,Hard,90.6,2141,2081
78,2022,Rome Masters,Masters,Clay,79.5,2067,2061
79,2022,Toronto Masters,Masters,Hard,79.2,2023,2049
80,2022,Acapulco,ATP 500,Hard,49.7,1599,2018
81,2022,Barcelona,ATP 500,Clay,44.3,1642,1962
82,2022,Basel,ATP 500,Hard,47.9,1511,1990
83,2022,Dubai,ATP 500,Hard,46.8,1544,2001
84,2022,Halle,ATP 500,Grass,46.7,1524,1994
85,2022,Hamburg,ATP 500,Clay,31.5,1312,1925
86,2022,London,ATP 500,Grass,44.5,1466,1975
87,2022,Rio de Janeiro,ATP 500,Clay,26.5,1142,1893
88,2022,Rotterdam,ATP 500,Hard,42.6,1465,1975
89,2022,Tokyo,ATP 500,Hard,28.1,1275,1913
90,2022,Vienna,ATP 500,Hard,51.5,1555,2004
91,2022,Washington,ATP 500,Hard,37.0,1624,1957
